kode;beskrivelse
1;Foran
2;Viken SA
3;AT Skog SA
4;Mjøsen skog SA
5;Allskog SA
6;Vestskog
7;Sogn & Fj. Skogeierlag
8;BioFokus
9;Skogselskapet
10;NIBIO
11;Vestskog SA
12;Glommen Skog SA
13;Glommen Skog AS
14;Nortømmer AS
15;Norsk Skogsertifisering AS
16;SB Skog AS
17;Stangeskovene AS
18;Skog & Virke AS
19;Altiskog AS
20;Statskog SF
