livsmk;htypek;gtypek;grunntype
4;V4;V4-C-1;V4-C-1 litt kalkfattig og svakt intermediær svakkilde
4;V4;V4-C-2;V4-C-2 sterkt intermediære og litt kalkrike kilder
4;V4;V4-C-3;V4-C-3 temmelig til ekstremt kalkrike kilder
4;V4;V4-C-4;V4-C-4 sterkt intermediære og litt kalkrike torvmarkskilder
4;V4;V4-C-5;V4-C-5 temmelig til ekstremt kalkrike torvmarkskilder
4;V8;V8-C-1;V8-C-1 kalkfattig og intermediær strand- og sumpskogsmark
4;V8;V8-C-2;V8-C-2 kalkrik strand- og sumpskogsmark
4;V8;V8-C-3;V8-C-3 saltpåvirket strand- og sumpskogsmark
5;T4;T4-C-1;T4-C-01 blåbærskog
5;T4;T4-C-2;T4-C-02 svak lågurtskog
5;T4;T4-C-3;T4-C-03 lågurtskog
5;T4;T4-C-4;T4-C-04 kalklågurtskog
5;T4;T4-C-5;T4-C-05 bærlyngskog
5;T4;T4-C-6;T4-C-06 svak bærlyng-lågurtskog
5;T4;T4-C-7;T4-C-07 bærlyng-lågurtskog
5;T4;T4-C-8;T4-C-08 bærlyng-kalklågurtskog
5;T4;T4-C-9;T4-C-09 lyngskog
5;T4;T4-C-10;T4-C-10 svak lyng-lågurtskog
5;T4;T4-C-11;T4-C-11 lyng-lågurtskog
5;T4;T4-C-12;T4-C-12 lyng-kalklågurtskog
5;T4;T4-C-13;T4-C-13 lavskog
5;T4;T4-C-14;T4-C-14 svak lav-lågurtskog
5;T4;T4-C-15;T4-C-15 lav-lågurtskog
5;T4;T4-C-16;T4-C-16 lav-kalklågurtskog
5;T4;T4-C-17;T4-C-17 storbregneskog
5;T4;T4-C-18;T4-C-18 høgstaudeskog
5;T4;T4-C-19;T4-C-19 litt tørkeutsatt høgstaudeskog
5;T4;T4-C-20;T4-C-20 tørkeutsatt høgstaudeskog
5;T30;T30-C-1;T30-C-1 flomskogsmarker på grus og stein
5;T30;T30-C-2;T30-C-2 flomskogsmarker på finmateriale
5;T30;T30-C-3;T30-C-3 kildepåvirkede flomskogsmarker på finmateriale
5;T30;T30-C-4;T30-C-4 erosjonspreget flomskogsmark
5;T32;T32-C-1;T32-C-01 kalkfattig eng med mindre hevdpreg
5;T32;T32-C-2;T32-C-02 kalkfattig eng med klart hevdpreg
5;T32;T32-C-3;T32-C-03 intermediær eng med mindre hevdpreg
5;T32;T32-C-4;T32-C-04 intermediær eng med klart hevdpreg
5;T32;T32-C-5;T32-C-05 svakt kalkrik eng med mindre hevdpreg
5;T32;T32-C-6;T32-C-06 intermediær eng med svakt preg av gjødsling
5;T32;T32-C-7;T32-C-07 sterkt kalkrik eng med mindre hevdpreg
5;T32;T32-C-8;T32-C-08 sterkt kalkrik eng med klart hevdpreg
